SYMBOL	ENSEMBL	seqnames	start	end	width	strand
	ENSG00000243485	chr1	29554	31109	1556	+
FAM138A	ENSG00000237613	chr1	34554	36081	1528	-
OR4F5	ENSG00000186092	chr1	65419	71585	6167	+
	ENSG00000238009	chr1	89295	133723	44429	-
	ENSG00000239945	chr1	89551	91105	1555	-
	ENSG00000239906	chr1	139790	140339	550	-
	ENSG00000241860	chr1	141474	173862	32389	-
	ENSG00000241599	chr1	160446	161525	1080	+
	ENSG00000286448	chr1	266855	268655	1801	+
	ENSG00000236601	chr1	358857	366052	7196	+
OR4F29	ENSG00000284733	chr1	450703	451697	995	-
	ENSG00000235146	chr1	587629	594768	7140	+
OR4F16	ENSG00000284662	chr1	685679	686673	995	-
	ENSG00000229905	chr1	760911	761989	1079	+
LINC01409	ENSG00000237491	chr1	778747	810065	31319	+
FAM87B	ENSG00000177757	chr1	817371	819837	2467	+
LINC01128	ENSG00000228794	chr1	825138	868202	43065	+
	ENSG00000225880	chr1	826206	827522	1317	-
FAM41C	ENSG00000230368	chr1	868071	876903	8833	-
	ENSG00000272438	chr1	904834	915976	11143	+
	ENSG00000230699	chr1	911435	914948	3514	+
	ENSG00000241180	chr1	914171	914971	801	+
LINC02593	ENSG00000223764	chr1	916865	921016	4152	-
SAMD11	ENSG00000187634	chr1	923928	944581	20654	+
NOC2L	ENSG00000188976	chr1	944203	959309	15107	-
KLHL17	ENSG00000187961	chr1	960584	965719	5136	+
PLEKHN1	ENSG00000187583	chr1	966482	975865	9384	+
PERM1	ENSG00000187642	chr1	975204	982093	6890	-
	ENSG00000272512	chr1	995966	998051	2086	-
HES4	ENSG00000188290	chr1	998962	1000172	1211	-
ISG15	ENSG00000187608	chr1	1001138	1014540	13403	+
	ENSG00000224969	chr1	1011997	1013193	1197	-
AGRN	ENSG00000188157	chr1	1020120	1056118	35999	+
	ENSG00000242590	chr1	1055033	1056116	1084	+
	ENSG00000273443	chr1	1062208	1063288	1081	-
RNF223	ENSG00000237330	chr1	1070967	1074306	3340	-
C1orf159	ENSG00000131591	chr1	1081818	1116361	34544	-
	ENSG00000285812	chr1	1097585	1104598	7014	+
LINC01342	ENSG00000223823	chr1	1137017	1144056	7040	+
	ENSG00000272141	chr1	1169357	1170343	987	+
TTLL10-AS1	ENSG00000205231	chr1	1173056	1179555	6500	-
TTLL10	ENSG00000162571	chr1	1173884	1197935	24052	+
TNFRSF18	ENSG00000186891	chr1	1203508	1206592	3085	-
TNFRSF4	ENSG00000186827	chr1	1211340	1214153	2814	-
SDF4	ENSG00000078808	chr1	1216908	1232067	15160	-
B3GALT6	ENSG00000176022	chr1	1232237	1235041	2805	+
C1QTNF12	ENSG00000184163	chr1	1242446	1246722	4277	-
	ENSG00000260179	chr1	1249777	1251334	1558	-
UBE2J2	ENSG00000160087	chr1	1253909	1273885	19977	-
	ENSG00000230415	chr1	1275223	1280420	5198	+
SCNN1D	ENSG00000162572	chr1	1280436	1292029	11594	+
ACAP3	ENSG00000131584	chr1	1292390	1309609	17220	-
PUSL1	ENSG00000169972	chr1	1308597	1311677	3081	+
INTS11	ENSG00000127054	chr1	1311585	1324691	13107	-
	ENSG00000240731	chr1	1317581	1318689	1109	-
CPTP	ENSG00000224051	chr1	1324756	1328896	4141	+
TAS1R3	ENSG00000169962	chr1	1331280	1335314	4035	+
DVL1	ENSG00000107404	chr1	1335276	1349418	14143	-
MXRA8	ENSG00000162576	chr1	1352689	1361777	9089	-
AURKAIP1	ENSG00000175756	chr1	1373730	1375495	1766	-
CCNL2	ENSG00000221978	chr1	1385711	1399335	13625	-
MRPL20-AS1	ENSG00000224870	chr1	1399520	1402046	2527	+
MRPL20	ENSG00000242485	chr1	1401909	1407293	5385	-
	ENSG00000272455	chr1	1409096	1410618	1523	+
ANKRD65	ENSG00000235098	chr1	1418420	1421769	3350	-
	ENSG00000225905	chr1	1420245	1422691	2447	+
TMEM88B	ENSG00000205116	chr1	1426128	1427787	1660	+
	ENSG00000225285	chr1	1430539	1434573	4035	-
VWA1	ENSG00000179403	chr1	1434861	1442882	8022	+
ATAD3C	ENSG00000215915	chr1	1449689	1470163	20475	+
ATAD3B	ENSG00000160072	chr1	1471765	1497848	26084	+
ATAD3A	ENSG00000197785	chr1	1512162	1534685	22524	+
TMEM240	ENSG00000205090	chr1	1534778	1540624	5847	-
SSU72	ENSG00000160075	chr1	1541673	1574863	33191	-
	ENSG00000215014	chr1	1574102	1577075	2974	+
FNDC10	ENSG00000228594	chr1	1598012	1600135	2124	-
	ENSG00000286989	chr1	1600314	1602703	2390	+
	ENSG00000272106	chr1	1613758	1615795	2038	-
MIB2	ENSG00000197530	chr1	1615415	1630610	15196	+
MMP23B	ENSG00000189409	chr1	1632163	1635263	3101	+
CDK11B	ENSG00000248333	chr1	1635227	1659012	23786	-
	ENSG00000272004	chr1	1659325	1662602	3278	+
SLC35E2B	ENSG00000189339	chr1	1659529	1692795	33267	-
CDK11A	ENSG00000008128	chr1	1702379	1724357	21979	-
	ENSG00000215790	chr1	1724838	1745999	21162	-
NADK	ENSG00000008130	chr1	1751232	1780457	29226	-
GNB1	ENSG00000078369	chr1	1785285	1891117	105833	-
GNB1-DT	ENSG00000231050	chr1	1891471	1892658	1188	+
CALML6	ENSG00000169885	chr1	1915108	1917296	2189	+
TMEM52	ENSG00000178821	chr1	1917590	1919279	1690	-
CFAP74	ENSG00000142609	chr1	1921951	2003837	81887	-
	ENSG00000233542	chr1	2013213	2015639	2427	-
GABRD	ENSG00000187730	chr1	2019329	2030758	11430	+
PRKCZ-DT	ENSG00000226969	chr1	2049203	2050070	868	-
PRKCZ	ENSG00000067606	chr1	2050411	2185395	134985	+
	ENSG00000271806	chr1	2141084	2145279	4196	-
PRKCZ-AS1	ENSG00000182873	chr1	2181794	2184389	2596	-
FAAP20	ENSG00000162585	chr1	2184461	2212720	28260	-
	ENSG00000234396	chr1	2212523	2220738	8216	+
SKI	ENSG00000157933	chr1	2228319	2310213	81895	+
	ENSG00000287356	chr1	2315040	2323085	8046	+
MORN1	ENSG00000116151	chr1	2321253	2391707	70455	-
	ENSG00000272161	chr1	2326201	2326693	493	-
	ENSG00000272420	chr1	2363061	2363628	568	-
RER1	ENSG00000157916	chr1	2391775	2405442	13668	+
PEX10	ENSG00000157911	chr1	2403964	2413797	9834	-
PLCH2	ENSG00000149527	chr1	2425980	2505532	79553	+
	ENSG00000224387	chr1	2492300	2493258	959	-
	ENSG00000229393	chr1	2493437	2494479	1043	-
PANK4	ENSG00000157881	chr1	2508537	2526611	18075	-
HES5	ENSG00000197921	chr1	2528745	2530263	1519	-
	ENSG00000272449	chr1	2530064	2547460	17397	+
	ENSG00000238164	chr1	2549920	2557031	7112	-
TNFRSF14	ENSG00000157873	chr1	2555639	2565382	9744	+
