ENSEMBL	idx	TX_LENGTH
ENSG00000129910.8	1	4647
ENSG00000259803.7	2	2646
ENSG00000139899.11	3	2692
ENSG00000286891.1	4	10838
ENSG00000132677.13	5	3384
ENSG00000174171.6	6	6752
ENSG00000287227.1	7	1715
ENSG00000286097.1	8	1897
ENSG00000287226.1	9	1408
ENSG00000257242.8	10	4833
ENSG00000175183.10	11	5842
ENSG00000184497.13	12	7301
ENSG00000243620.2	13	4540
ENSG00000230991.2	14	1822
ENSG00000226968.1	15	903
ENSG00000174963.18	16	8517
ENSG00000163673.7	17	5574
ENSG00000139800.8	18	4639
ENSG00000170290.4	19	906
ENSG00000188452.14	20	4769
ENSG00000198542.14	21	6176
ENSG00000286862.1	22	714
ENSG00000253821.2	23	1692
ENSG00000101825.8	24	9804
ENSG00000119630.14	25	5804
ENSG00000237019.1	26	382
ENSG00000180660.8	27	2901
ENSG00000189056.14	28	12784
ENSG00000170370.12	29	3261
ENSG00000161544.10	30	2753
ENSG00000039537.14	31	4857
ENSG00000146648.19	32	12515
ENSG00000163568.15	33	1874
ENSG00000039068.19	34	6103
ENSG00000078900.15	35	6767
ENSG00000143032.8	36	2044
ENSG00000230637.2	37	663
ENSG00000144891.17	38	3478
ENSG00000115461.5	39	6466
ENSG00000158710.15	40	2262
ENSG00000173376.14	41	3573
ENSG00000142700.12	42	3168
ENSG00000234715.2	43	2725
ENSG00000081277.13	44	6211
ENSG00000148848.14	45	9860
ENSG00000160013.9	46	3517
ENSG00000232896.1	47	635
ENSG00000224259.7	48	3676
ENSG00000229847.9	49	8918
ENSG00000137709.10	50	6700
ENSG00000135406.14	51	3182
ENSG00000080644.16	52	4761
ENSG00000148344.11	53	1891
ENSG00000108830.10	54	4368
ENSG00000248215.6	55	2182
ENSG00000253512.1	56	330
ENSG00000285549.1	57	1197
ENSG00000230489.1	58	619
ENSG00000260192.3	59	7574
ENSG00000152977.10	60	6825
ENSG00000279161.1	61	2352
ENSG00000183908.7	62	5410
ENSG00000079335.20	63	6510
ENSG00000255101.1	64	682
ENSG00000226822.3	65	4132
ENSG00000253693.1	66	734
ENSG00000147432.7	67	2597
ENSG00000159307.19	68	12122
ENSG00000241956.10	69	10273
ENSG00000166415.15	70	8573
ENSG00000167414.4	71	216
ENSG00000153093.19	72	6073
ENSG00000139211.6	73	3956
ENSG00000010310.9	74	5069
ENSG00000128655.18	75	12267
ENSG00000144481.17	76	7928
ENSG00000176842.15	77	2842
ENSG00000134215.16	78	7306
ENSG00000173250.2	79	3088
ENSG00000147434.9	80	2596
ENSG00000231671.1	81	1238
ENSG00000183960.9	82	6088
ENSG00000112276.14	83	5791
ENSG00000118557.16	84	5591
ENSG00000138722.10	85	5510
ENSG00000229603.1	86	538
ENSG00000161509.14	87	8584
ENSG00000233009.1	88	2846
ENSG00000107611.16	89	13264
ENSG00000184350.11	90	4108
ENSG00000254599.1	91	435
ENSG00000287598.1	92	1089
ENSG00000250742.4	93	4283
ENSG00000226819.1	94	707
ENSG00000166292.12	95	2906
ENSG00000075223.14	96	6100
ENSG00000285755.2	97	4548
ENSG00000164318.18	98	6183
ENSG00000236212.2	99	2104
ENSG00000143995.20	100	10942
ENSG00000168461.13	101	5476
ENSG00000175779.4	102	8474
ENSG00000263317.1	103	308
ENSG00000287996.1	104	9263
ENSG00000230525.6	105	1675
ENSG00000235885.8	106	8246
ENSG00000137251.16	107	2159
ENSG00000137252.9	108	1964
